user_id,post_id
u4,p1
u7,p2
u1,p3
u6,p4
u9,p5
u6,p6
u4,p7
u3,p8
u2,p9
u1,p10
u9,p11
u5,p12
u2,p13
u10,p14
u3,p15
u1,p16
u3,p17
u6,p18
u1,p19
u6,p20
u5,p21
u9,p22
u5,p23
u3,p24
u2,p25
u8,p26
u8,p27
u10,p28
u10,p29
u7,p30
u3,p31
u8,p32
u7,p33
u8,p34
u1,p35
u8,p36
u8,p37
u10,p38
u3,p39
u8,p40
u8,p41
u10,p42
u9,p43
u10,p44
u6,p45
u10,p46
u4,p47
u4,p48
u10,p49
u2,p50
u10,p51
u9,p52
u10,p53
u7,p54
u6,p55
u2,p56
u4,p57
u6,p58
u5,p59
u6,p60
u2,p61
u6,p62
u9,p63
u3,p64
u7,p65
u10,p66
u7,p67
u6,p68
u7,p69
u10,p70
u9,p71
u5,p72
u5,p73
u2,p74
u6,p75
u9,p76
u10,p77
u3,p78
u10,p79
u2,p80
u1,p81
u2,p82
u3,p83
u7,p84
u10,p85
u4,p86
u6,p87
u8,p88
u8,p89
u5,p90
u2,p91
u10,p92
u7,p93
u8,p94
u1,p95
u7,p96
u1,p97
u10,p98
u1,p99
u8,p100
